WKT,NAME,SpeciesName,Date,NameDate,URL
"MULTIPOINT ((153.23374 -28.34152))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-10-01T00:00:00.000,Koala 2017-10-01T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.23402 -28.34172))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-10-01T00:00:00.000,Koala 2017-10-01T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.18116 -27.90203))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-10-15T00:00:00.000,Koala 2017-10-15T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.22471 -27.95404))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-11-12T13:31:00.000,Koala 2017-11-12T13:31:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.3 -28.0))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-11-12T00:00:00.000,Koala 2017-11-12T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.28657 -27.91823))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-12-15T00:00:00.000,Koala 2017-12-15T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.7 -28.2))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-01-07T00:00:00.000,Koala 2016-01-07T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.07565 -27.8243))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-02-28T00:00:00.000,Koala 2016-02-28T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.98408 -27.76967))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-02-24T00:00:00.000,Koala 2016-02-24T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.02283 -28.4137))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-02-28T00:00:00.000,Koala 2016-02-28T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.63172 -28.39383))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-03-02T00:00:00.000,Koala 2016-03-02T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.3 -28.0))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-04-10T00:00:00.000,Koala 2016-04-10T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.02817 -27.88779))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-04-28T00:00:00.000,Koala 2016-04-28T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.10177 -27.90795))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-04-23T00:00:00.000,Koala 2016-04-23T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.26133 -28.27667))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-05-08T00:00:00.000,Koala 2016-05-08T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.13526 -27.79325))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-05-25T00:00:00.000,Koala 2016-05-25T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.09571 -27.81104))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-05-20T00:00:00.000,Koala 2016-05-20T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.2607 -28.27633))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-05-08T00:00:00.000,Koala 2016-05-08T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.64671 -28.37328))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-06-03T00:00:00.000,Koala 2016-06-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.64659 -28.37355))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-06-03T00:00:00.000,Koala 2016-06-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.64635 -28.37369))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-06-03T00:00:00.000,Koala 2016-06-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.64648 -28.37239))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-06-03T00:00:00.000,Koala 2016-06-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.64599 -28.37374))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-06-03T00:00:00.000,Koala 2016-06-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.64672 -28.37357))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-06-03T00:00:00.000,Koala 2016-06-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.64635 -28.37389))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2016-06-03T00:00:00.000,Koala 2016-06-03T00:00:00,https://wildlife.org.au/koala/
